
 001 	 28.4351 	 0.8287 	 

 002 	 25.0746 	 0.7797 	 

 003 	 25.3373 	 0.7709 	 

 004 	 28.4063 	 0.8494 	 

 005 	 27.1476 	 0.8119 	 

 006 	 26.2004 	 0.7767 	 

 007 	 25.6918 	 0.7717 	 

 008 	 25.5984 	 0.7401 	 

 009 	 25.4558 	 0.7250 	 

 010 	 28.7907 	 0.8947 	 

 011 	 26.3044 	 0.7649 	 

 012 	 23.7863 	 0.7718 	 

 013 	 27.6212 	 0.8597 	 

 014 	 27.0104 	 0.8331 	 

 015 	 26.1895 	 0.7924 	 

 016 	 26.0789 	 0.7986 	 

 017 	 23.6556 	 0.7023 	 

 018 	 27.1618 	 0.8086 	 

 019 	 25.8544 	 0.7545 	 

 020 	 27.1903 	 0.8228 	 

 AVG 	 26.2613 	 0.7900 	 nan 	 nan 	 
